NomStructure ; TypeStructure ; AdresseStructure ; CodePostalStructure ; VilleStructure ; PaysStructure ; NomService ; SujetStage ; DateDebutStage ; DateFinStage ; OrigineStage ; CodePostalEtudiant ; VilleEtudiant ; LibelleEtape ; FonctionsEtTaches ; Details ; Annee 
 France 3 Corse Via Stella ; Entreprise publique ; Immeuble Forum du Fango CS 60306 Bd du Fango ; 20297 ; bastia cedex  ; France ; Informatique ; Migration et évolution d'un événementiel ;04/04/2016;29/04/2016; candidature spontané ; 20167 ; Appietto ; LICENCE-3-INFORMATIQUE ; Développement, test et intégration ; Environnement Microsoft, portage de données existantes, annuaire Active directory ; 2015/2016 
 CNRS UMR 6134 SPE ; Administration publique d'état ; Campus Grimaldi BP52 ; 20250 ; CORTE ; FRANCE ; CNRS UMR 6134 SPE ; Prise en main d'un logiciel de simulation multiagents ;04/04/2016;29/04/2016; réseau de connaissance ; 20215 ; Vescovato ; LICENCE-3-INFORMATIQUE ; L'objectif du sujet est la prise en main d'un logiciel de simulation multiagents, sa description, la réalisation d'un modèle, la simulation du modèle, la comparaison des résultats avec les autres stagiaires et l'analyse de ces résultats.  ; Chronogramme : Semaine 1 : - Choix du de simulation multiagents - Rédaction d'un document descriptif (6-8 pages) qui présente le logiciel, ses fonctionnalités, comment l'installer et l'utiliser (notice) - Choix d'un modèle (jeu de la vie, modèle proie prédateur, modèle SIR, propagation simple de feu)Semaine 2 : - Description du modèle (fonctionnement, équations, variables, algorithmes) - implémentation du modèle- simulations (réplication)Semaine 3 : - analyse de sensibilité des paramètres du modèle et analyse des résultats- comparaison des codes des modèles- comparaison des résultats entre logicielSemaine 4 : - notion de reproductibilité, de validation   - rédaction du rapport et préparation de l'oral  ; 2015/2016 
 Laboratoire SPE-UMR6134 ; Administration publique d'état ; Campus grimaldi ; 20250 ; corte ; France ; Laboratoire ; implémenter deux jeux des allumettes et apprendre un peu de théorie des automates ;04/04/2016;25/04/2016; candidature spontané ; 20290 ; borgo ; LICENCE-3-INFORMATIQUE ; assistant ingénieur en pédagogie de l'informatique ; ces deux jeux sont des cas particulier du théorème:dans un jeu dont l'ensemble gagnant est donné par un automate fini, l'un des deux joueurs a une stratégie donné par un automate. On peut décider qui gagne et calculer la stratégie gagnante. Le premier jeu apparait dans le livre de Donald Knuth  ; 2015/2016 
 CAPA ; Administration territoriale ; 18 rue du comte de Marbeuf bât G et H site alban ; 20000  ; AJACCIO ; France ; Développement numérique ; Développement d’un portail du Système d’Information Géographique de la CAPA ;27/03/2017;21/04/2017; candidature spontané ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; HTML5 et responsive designGestion des groupes et utilisateurs. L’accès aux différentes pages du site sera lié aux droits des utilisateursGestion en base de données, de préférence PostgreSQLUtilisation d’un CMS, de préférence WordPressUne charte graphique en lien avec les autres sites de la CAPA ; Le SIG est composé de nombreuses applications web dont l’accessibilité n’est pas centralisée. Afin de faciliter l’accès aux applications et aux données du SIG pour les utilisateurs, le développement d’un guichet unique devient un outil indispensable. ; 2016/2017 
 UMR CNRS 6134 SPE ; Non connu ; Campus Grimaldi Bat PPDB  ; 20250 ; CORTE ; FRANCE ; Feux de végétation ; Robotique ;27/03/2017;21/04/2017;  ; 20144 ; Zonza ; LICENCE-3-INFORMATIQUE ; Prototypage d'un robot autonome de dÃ©tection d'objet ; Prototypage d'un robot autonome de dÃ©tection d'objet ; 2016/2017 
 Les Editions Corses ; Entreprise privée ; Route de l'Aeroport ; 20290 ; Lucciana ; France ; Service Informatique ; Stage d'application d'entreprise ;27/03/2017;21/04/2017; candidature spontané ; 20290 ; LUCCIANA ; LICENCE-3-INFORMATIQUE ; IntÃ©gration CSS, dÃ©veloppement PHP ; Travail sur un ensemble de projets Web ; 2016/2017 
 AgenceNeuromediasoft ; Entreprise privée ; 4 rampe st­-croix ; 20250 ; CORTE ; France ; Neuromediasoft ; Stage d'application en entreprise ;27/03/2017;21/04/2017; candidature spontané ; 20140 ; Sollacaro ; LICENCE-3-INFORMATIQUE ; Développement web ; Travail sur un projet de backoffice ; 2016/2017 
 Centre INRA de Corse ; Administration publique d'état ; INRA – UE1103 Citrus  ; 20230 ; SAN GIULIANO ; France ;" 	UE Citrus "; Optimisation d'un outil de gestion informatique appliquÃ© Ã  un site web. ;27/03/2017;21/04/2017; réseau de connaissance ; 20620 ; BIGUGLIA ; LICENCE-3-INFORMATIQUE ; Gestion de projet. Travail partagÃ© avec une Ã©quipe. Connaissance des outils web et orientÃ©s objets. ; Travail sur un projet en Ã©quipe, en sÃ©parant les tÃ¢ches tout en communiquant avec le reste du groupe. ; 2016/2017 
 CPAM de Haute-Corse ; Entreprise privée ; 5 avenue Jean Zuccarelli ; 20200 ; Bastia ; France ; Service Informatique ; Maintenance du matériel informatique et du réseau ;27/03/2017;21/04/2017; candidature spontané ; 20620 ; Biguglia ; LICENCE-3-INFORMATIQUE ; Assistant au service informatique ; Aucun détail ; 2016/2017 
 AgenceNeuromediasoft ; Entreprise privée ; 4 rampe st­-croix ; 20250 ; CORTE ; France ; Neuromediasoft ; back-office, angular JS ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20117 ; cauro ; LICENCE-3-INFORMATIQUE ; développeur ; back-office, angular JS ; 2016/2017 
 SPE UMR CNRS 6134 ; Entreprise publique ; laboratoire chimie des produits naturels  ; 20250 ; corti  ; France ; Projet SISU ; Définition et implémentation d?un client web pour l?édition d?automates à états finis au format DNL ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20600 ; Bastia ; LICENCE-3-INFORMATIQUE ; - Export des automates au format XML et DNL compatible avec le logiciel MS4Me.- Possibilité d?éditer le code DNL afin d?introduire des blocs de code DEVS (en python ou java). ; La solution sera développée en HTML/CSS/JS (sur la base des sources du projet draw.io) pour la partie client et PHP pour la partie serveur  ; 2016/2017 
 laboratoire SPE - UMR6134 ; Administration publique d'état ; Campus Grimaldi ; 20250 ; Corte ; France ; laboratoire SPE-UMR6134 ; Interaction utilisateur/simulation incendie ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20213 ; Querciolo ; LICENCE-3-INFORMATIQUE ; Amélioration/création d'un système de lancement  de simulation. Gestion de Data ; Dans le cadre de ce projet, je serais amené à reprendre le système de simulation http://forefire.univ-corse.fr afin de réaliser un nouveau système de lancement de simulation à partir de données incendies archivées. ; 2016/2017 
 DEPANNPC ; Entreprise privée ; 4 Avenue Xavier Lucian ; 20250 ; CORTE ; France ; DEPANNPC ; Un stage en entreprise afin d'approfondir ses connaissances dans le domaine de l'informatique et réaliser un projet. ;27/03/2017;22/04/2017; réseau de connaissance ; 20112 ; Sainte Lucie de Tallano ; LICENCE-3-INFORMATIQUE ; Effectuer des maintenances sur différents matériels informatiques.Accueillir et renseigner les clients.Réaliser une application android pour le magasin. ; Réalisation d'une application android permettant:- De contacter le magasin- D'afficher différents renseignements- Créer un devisAinsi que d'autres fonctions à définir plus tard suivant la demande.^^ ; 2016/2017 
 A PROVA ; Non connu ; rue roland giovannageli ; 20090 ; Ajaccio ; France ; Informatique ; Stage dans une entreprise de développement en informatique ;27/03/2017;21/04/2017; réseau de connaissance ; 20246 ; San Gavino Di Tenda ; LICENCE-3-INFORMATIQUE ; Développement web et mobile ; L'étudiant participera aux différents projets de prestations qu'aura l'entreprise en développement web et mobile. ; 2016/2017 
 Université de Corse ; Administration publique d'état ; Palazzu Naziunale ; 20250 ; Corte ; France ; Direction des systèmes d'informaton ; Maintenance informatique ;13/03/2017;13/05/2017;  ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; -Gestion, installation et maintenance du matériel informatique (postes informatiques, périphériques) -Administration et exploitation de quelques serveurs-Aide à la gestion, installation et maintenance des logiciels  -Assistance et support technique (matériel et logiciel) auprès des utilisateurs ; Préparer et installer le matériel et/ou logiciel des systèmes et réseaux informatiques, diagnostiquer et corriger les dysfonctionnements décrits par les utilisateurs,réaliser l'intégration de nouveaux composants en respectant les normes et standards définis,assurer la maintenance préventive,réaliser des évolutions et des mises à jour,suivre les incidents,sécuriser les postes informatiques et les données. ; 2016/2017 
 3A SOLUTIONS SAS ; Entreprise privée ; Résidence Révinco ; 20290 ; Borgo ; France ; service informatique ; Réalisation d'un système du gestion électronique de documents ;27/03/2017;21/04/2017;  ; 20290 ; Lucciana ; LICENCE-3-INFORMATIQUE ; Employé stagiaire éditeur de logiciel ; Le système de gestion électronique de documents devra pouvoir permettre de scanner des documents et de les placer dans les bons dossiers windows à partir de fichier de configuration (en bonus : une reconnaissance du logo de l'entreprise ou d'images) ; 2016/2017 
 laboratoire SPE - UMR6134 ; Administration publique d'état ; Campus Grimaldi ; 20250 ; Corte ; France ; laboratoire SPE-UMR6134 ; Préparation de calculs numériques à haute performance ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20600 ; Furiani ; LICENCE-3-INFORMATIQUE ; Automatiser l'accès à de grandes quantités de données ; Dans le cadre de ce stage je serai amené à me connecter à un serveur d'archive météorologique afin d'automatiser les accès permettant de réaliser des simulations météorologiques quotidiennes sur la Corse. ; 2016/2017 
  Chambre de Commerce et d'Industrie d'Ajaccio et de la Corse du Sud ; Administration publique d'état ; Hotel Consulaire ; 20180 ; AJACCIO Cedex 1 ; FRANCE ; Port d'Ajaccio ; Développer une application Android ;27/03/2017;21/04/2017; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Analyse des besoins,Analyse de l'application et des ressources fournies,Programmation en java pour finaliser l'application Android ; Finir une application Android sur le port d'Ajaccio (arrivés et départs des bateaux).Ajouter, selon le cahier des charges, des fonctionnalités. ; 2016/2017 
 laboratoire SPE - UMR6134 ; Administration publique d'état ; Campus Grimaldi ; 20250 ; Corte ; France ; laboratoire SPE-UMR6134 ; Visualisation de calculs haute performance avec Paraview. ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Analyste programmeur , administration syst?me et mod?lisation 3D. ; Description: Dans le cadre de ce stage vous serez amen?s ? visualiser de grands volumes de donn?es (fournis) ? l'aide du logiciel paraview.Comp?tences: Une bonne ma?trise des logiciels de montage vid?o et des comp?tences syst?mes pour mieux appr?hender les volumes de donn?es ? traiter. ; 2016/2017 
 Université de Corse ; Administration publique d'état ; Palazzu Naziunale ; 20250 ; Corte ; France ; Pilotage ; Exploration de donnée ou  ;27/03/2017;21/04/2017; réponse à une offre de stage ; 20250 ; CORTE ; LICENCE-3-INFORMATIQUE ; Préparé et mettre en oeuvre des exploitations de base de données selon un scénario ; A partir des bases de données présentent, je doit pouvoir offrir une aide décisionnel selon le cas posé.  ; 2016/2017 
 Locomotive Software ; Entreprise privée ; 14 avenue de kergoat al lez ; 29000 ; Quimper ; France ; Loco ; Creation d'un site web ;27/03/2017;21/04/2017;  ; 20240 ; Ghisonaccia ; LICENCE-3-INFORMATIQUE ; Creation d'un site web.Traitement d'information ; Creation d'un site web afin de recuperer des informations pour ensuite les pouvoir les traites et ainsi creer des statistique. ; 2016/2017 
 OLIVETTI  - BUREAU + ; Entreprise privée ; Résidence LES DAUPHINS ; 20090 ; AJACCIO ; FRANCE ; Espace Micro  ; D?veloppement d'une application mobile sous Android ;27/03/2017;21/04/2017; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Responsable de la cr?ation du cahier des charges,Conception de l'application ; Cr?ation d'une application Android permettant au utilisateurs d'obtenir diverse informations sur le commerce Buro + ainsi que la possibilit? d'effectuer un devis en ligne concernant la r?paration de t?l?phone mobile. ; 2016/2017 
 Fab Lab ; Administration publique d'état ; 4 Rue Balthazar Arrighi ; 20250 ; CORTE ; France ; Fab Lab Corte ; Participation aux différents projets du Fab Lab ;27/03/2017;21/04/2017;  ; 20230 ; Linguizzetta ; LICENCE-3-INFORMATIQUE ; Conception numérique, fabrication numérique, exploration objets électronique ; Utilisation des différentes machines :- Imprimante 3D- Fraiseuse numérique- Découpe laser- Plotter de découpe- Machine à coudre et brodeuse numériqueUtilisation des logiciels de 2D et 3DUtilisation des kits Arduino et Raspberry PI ; 2016/2017 
 Octaedra ; Entreprise privée ; Route du Vazzio, Pont du Ricanto ; 20090 ; Ajaccio ; France ; Octaedra ; intégration de l'équipe de développeurs ;28/03/2017;21/04/2017;  ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; effectuer des recherches et un compte rendu sur la sécurité web, intégration de l'équipe de développeurs. ; effectuer des recherches et un compte rendu sur la sécurité web, intégration de l'équipe de développeurs. ; 2016/2017 
 Les Editions Corses ; Entreprise privée ; Route de l'Aeroport ; 20290 ; Lucciana ; France ; Service Informatique ; Développeur web ;09/04/2018;05/05/2018; réponse à une offre de stage ; 20290 ; Borgo ; LICENCE-3-INFORMATIQUE ; Mes tâches dans l'entreprise seront de m'occuper de divers travaux en rapport avec la création d'un site internet. ; Il faudra lors du stage coder en html,css,php, javascript. ; 2017/2018 
 Géoréso ; Non connu ; Résidence Casaluna  avenue de borgo ; 20290 ; Borgo ; France ; Agence Corse ; Usages de l'internet et du Multimédia dans une agence de Géomètres-Topographes ;09/04/2018;06/05/2018; réponse à une offre de stage ; 20290 ; 20290 - BORGO ; LICENCE-3-INFORMATIQUE ; Être force de proposition sur les stratégies à mettre en place pour le développement marketing de Réso3D (Community management, site internet...)Apporter un regard extérieur sur l'application mobile Réso3DDécouvrir les appareils technologiques dont se servent les techniciens topographes ; Être force de proposition sur les stratégies à mettre en place pour le développement marketing de R2so3D (Community management, site internet...)    Analyse de la communication actuelle    Objectifs : Avoir un regard critique sur les outils mis en place et à mettre en place. Proposer une stratégie en community managementApporter un regard extérieur sur l'application mobile Réso3D    Présentation de l'application    Objectifs : comprendre le déroulement des différentes étapes d'utilisation.  Apporter des idées d'améliorations.Découvrir par la pratique les appareils  dont se servent les techniciens topographes    Objectifs : connaître les missions des topographes, comprendre pourquoi des appareils connectés sont utilisés(Station totale, GPS, Tablette) pour relever de données. ; 2017/2018 
 Bastia Coworking ; Association ; 26 Rue du Général Carbuccia ; 20200 ; Bastia ; France ; Bastia Coworking ; Développement de plateforme web ;09/04/2018;05/05/2018; réseau de connaissance ; 20290 ; BORGO ; LICENCE-3-INFORMATIQUE ; Développeur ; Développement de deux projets portés par lesmembres de Bastia Coworking ; 2017/2018 
 ICARE Technologies ; Entreprise privée ; ZA Port Charles Ornano, ; 20090 ; Ajaccio ; France ; Développeur informatique ; Réalisation d'un démonstrateur lié à un nouvel usage de la bague d'ICARE Technologies. ;09/04/2018;04/05/2018; candidature spontané ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur full stack. ; Développement de fonctionnalités spécifiques à l'écosystème de la bague d'ICARE Technologies, nécessitant notamment du développement mobile, du développement web ou encore du développement IoT. ; 2017/2018 
 Université de Corse ; Non connu ; Campus Grimaldi ; 20250 ; Corte ; France ; UMR SPE 6134 ; Application GPS pouvant générer du QR code ;09/04/2018;04/05/2018; réseau de connaissance ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; Développer une application web générant un trajet GPS, et récoltant des informations les trajets générer. Ces informations devront ensuite pouvoir être lu et téléchargé via QR code. ; Application GPS pouvant générer du QR code en rapport avec le projet Smart Paesu. ; 2017/2018 
 CNRS - Université de Corse Pasquale Paoli - UMR SPE 6134 ; Non connu ; Avenue Jean Nicoli BP 52 ; 20250 ; CORTE ; FRANCE ; Technologies de l'information et de la communicati ; Intelligence artificielle et les jeux. ;09/04/2018;04/05/2018; candidature spontané ; 20129 ; Bastelicaccia ; LICENCE-3-INFORMATIQUE ; Etude de stratégies gagnantes et réalisation d'algorithmes. ; Réalisation d'une étude mêlant informatique et folklore Corse, avec la création d'une intelligence artificielle autour du  jeux de Salomon. ; 2017/2018 
 ICARE Technologies ; Entreprise privée ; Bâtiment C, Résidence Des Îles, Immeuble le Majorque ; 20000 ; Ajaccio ; France ; Développeur ; Réalisation d'un démonstrateur lié à un nouvel usage de la bague d'ICARE Technologies. ;09/04/2018;04/05/2018; réponse à une offre de stage ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur full stack. ; Développement de fonctionnalités spécifiques à l'écosystème de la bague d'ICARE Technologies, nécessitant notamment du développement mobile, du développement web ou encore du développement IoT. ; 2017/2018 
 Isula informatique ; Non connu ; Galerie Ferrandini, avenue paul doumer ; 20220 ; ile rousse ; france ; Developpement ; développement ;09/04/2018;04/05/2018; réseau de connaissance ; 20260 ; calvi ; LICENCE-3-INFORMATIQUE ; Développeur web, développeur d'application web, développeur d'application, web designer, maquettage web, maintenance de programme, automatisation de tâches ; Développeur web, développeur d'application web, développeur d'application, web designer, maquettage web, maintenance de programme, automatisation de tâches ; 2017/2018 
 CNRS UMR 6134 SPE ; Administration publique d'état ; Campus Grimaldi BP52 ; 20250 ; CORTE ; FRANCE ; CNRS UMR 6134 SPE ; Intelligence artificielle et les jeux ;09/04/2018;04/05/2018; candidature spontané ; 20600 ; BASTIA ; LICENCE-3-INFORMATIQUE ; Etude de stratégies gagnantes et réalisation d'algorithmes. ; Réalisation d'une étude mêlant informatique et folklore Corse, avec la création d'une intelligence artificielle autour du jeu de Salomon. ; 2017/2018 
 Sur un Nuage ; Association ; 66 cours Napoléon ; 20000 ; Ajaccio ; France ; Informatique ;" Création de l'entreprise ""Sur un nuage Innovation"" qui est une entreprise dans la E-Santé et l'innovation.  ";09/04/2018;04/05/2018; réseau de connaissance ; 20000 ; Ajaccio ; LICENCE-3-INFORMATIQUE ;" Recherche de différents partenariats, conception et développement de l'application mobile (iOS et Android) ""MyNurse"". Choix techniques. Participation à appel à projet ""Corsica Innova"". Intégration de plusieurs API tels que : api GoogleMaps et une api de DMP (Dossiers Médicaux Partagés). "; Nous travaillons actuellement sur une application mobile dans la E-Santé. Notre but actuellement est de finir le plus vite possible un prototype pour pouvoir faire une levée de fonds. Toutes les tâches auront pour finalité la levée de fonds et la structuration de l'entreprise. Nous devons donc créer une communauté et aussi créer des partenariats avec divers mutuelles et pharmacies. Nous avons aussi répondu à un appel à projet en Corse dont nous avons déjà passé la pré-selection. ; 2017/2018 
 Université de Corse ; Administration publique d'état ; Palazzu Naziunale ; 20250 ; Corte ; France ; Pilotage ; Analyses de données et production de tableaux de bord ;09/04/2018;04/05/2018; réseau de connaissance ; 20250 ; Corte ; LICENCE-3-INFORMATIQUE ; - Manipulation de bases de données- Utilisation du logiciel Tableau et de l'environment SQL Server 2012 ; - Base de données- Reporting (Indicateurs, tableau de bord)- Analyse- Integration de données ; 2017/2018 
 Bastia Coworking ; Association ; 26 Rue du Général Carbuccia ; 20200 ; Bastia ; France ; Bastia Coworking ; Développement de plateforme web. ;09/04/2018;05/05/2018; réseau de connaissance ; 20215 ; Venzolasca ; LICENCE-3-INFORMATIQUE ; Développeur, création d'un site. ; Développement d'un projet porté par les membres de Bastia Coworking. ; 2017/2018 
 Université de Corse ; Administration publique d'état ; Palazzu Naziunale ; 20250 ; Corte ; France ; Pilotage ; Analyses de données et production de tableaux de bord ;09/04/2018;04/05/2018; réseau de connaissance ; 20166 ; Porticcio ; LICENCE-3-INFORMATIQUE ; -Manipulation de bases de données-Utilisation du logiciel Tableau et de l'environnement SQL Server 2012 ; -Base de données-Reporting ( Indicateurs, tableaux de bord)-Analyse-Intégration de données  ; 2017/2018 
 Qwant Music ; Entreprise privée ; ZA Port Charles Ornano ; 20090 ; Ajaccio ; France ; Informatique ; Dans le cadre de la refonte de notre système de données, vous réaliserez un micro service, permettant un enrichissement de notre modèle de données.Vous serez amenez à travailler avec l’équipe backend et data.Vous serez confrontez à la spécification de la tache jusqu’à la mise en production de votre Code. ;08/04/2019;03/05/2019; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ;     • Recherche d’une nouvelle source de donnée musicale    • Spécification, recherche & faisabilité du micro service    • Découpe du micro service en fonctionnalités     • Réalisation du micro service dans un langage approprié. ; Dernières fonctions et tâches :     • Intégration de la nouvelle source de donnée dans notre architecture existanteDétails du projet : Architecture Logiciel de Qwant Music est découpée en multiple micro services. Indépendant les uns des autres. A chaque micro services ajoutés ils permettent d’enrichir le modèle de données de Qwant Music. ; 2018/2019 
 SAGES informatique ; Non connu ; 17 Le Domaine de Suartello ; 20090 ; Ajaccio ; France ; Equipe de développement produit ; Enrichissement et exploitation du framework Zeendoc, outil de gestion ;08/04/2019;03/05/2019; réseau de connaissance ; 20090 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur Web / Integration ; Développement web avec le framework Zeendoc ; 2018/2019 
 Isula informatique ; Non connu ; Galerie Ferrandini, avenue paul doumer ; 20220 ; ile rousse ; france ; Developpement ; Découvrir l'environnement d'un informaticien ;08/04/2019;03/05/2019; réseau de connaissance ; 20260 ; Lumio ; LICENCE-3-INFORMATIQUE ; Maintenance informatique, programmation web, montage pc ; Suivre les tâches quotidiennes à effectuer, répondre aux demandes, s'impliquer dans les démarches à suivre, apprendre, évoluer. ; 2018/2019 
 Axelerio Technologies ; Non connu ;  12 rue Général Fiorella  ; 20000 ; Ajaccio ; France ; Service Informatique ; Développement web, utilisation de technologies modernes ;08/04/2019;03/05/2019; réponse à une offre de stage ; 20000 ; Ajaccio ; LICENCE-3-INFORMATIQUE ; Développeur web ; Configuration DNS, mise en place de certificats ssl, mise à jour de sites internet existants, installations de moyens de paiement. ; 2018/2019 
 SITEC ; Non connu ; Résidence Plein Sud ; 20600 ; BASTIA ; FRANCE ; Développement et collectivités ; Développement d'une interface web pour un projet de R&D basé sur le déploiement d'IoT et la visualisation de données. ;15/04/2019;10/05/2019; candidature spontané ; 20220 ; CORBARA ; LICENCE-3-INFORMATIQUE ; Travailler sur le Backend  et sur le Front-end  afin de créer une interface. ; Travailler sur le côté Backend en utilisant le API Restful, PHP, JavaScript et également sur le côté Front-end pour la face client de l'application en utilisant Bootstrap, Lavarel ou Symfony, HTML5, JavaScript, CSS, PHP pour créer une interface entre les différents utilisateurs de l'application web et les fonctionnalités du Back-end. ; 2018/2019 
 SITEC ; Non connu ; Résidence Plein Sud ; 20600 ; BASTIA ; FRANCE ; Développement et collectivités ; Développement d'une interface web pour un projet de R&D basé sur le déploiement d'IoT et la visualisation de données ;15/04/2019;10/05/2019; réseau de connaissance ; 20200 ; Corte ; LICENCE-3-INFORMATIQUE ; Travailler sur le Backend et sur le Front-end pour créer une interface . ; Travailler sur le Backend en utilisant l'API Restful, PHP, JavaScript et également sur le côté Front-end pour la face client de l'application en utilisant Bootstrap, Laravel ou Symfony HTML5, JavaScript, CSS, PHP pour créer une interface entre les différents utilisateurs de l'application web et les fonctionnalités du Backend.  ; 2018/2019 
