Siret;Raison_sociale;Enseigne;Dirigeant_principal;Forme_juridique;Libelle_inscription;Code_APE;Libelle_code_APE;Libelle_categorie;Effectif_etablissement;Voie;Code_postal;Libelle_commune;Libelle_departement;Libelle_zone_appartenance_commune;Telephone;Email;Nombre_etablissements
911.123.503.00011;XNIHILO;;Mr Maxime BEGARIE;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;17 BD JEROME ET BARTHELEMY MAGLIOLI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
942.561.895.00015;FREECODER;;Mr Massimo ALVARO;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;VAZZIO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
947.847.448.00018;MR MANCEAU MATTHIEU;;Mr Matthieu MANCEAU;1000;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;RUE DES ORANGERS;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
980.205.082.00020;SYSNAIA;;Mr Sylvain SENCRISTO;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;RUE COLONEL ET CAPITAINE BIANCAMARIA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
411.441.728.00028;SARL MEDI INFORMATIQUE;;Mr Paul PREZIOSI;5499;RCS/RM;6203Z;GESTION D'INSTALLATIONS INFORMATIQUES;SERVICE;4;9 COURS JEAN NICOLI;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 22 32 60;p.preziosi@medi.fr;1
818.643.801.00017;FUSIONNEL;FUSIONNEL.COM;Mme Marie Louise NEGRONI;5710;RCS;6312Z;PORTAILS INTERNET;SERVICE;1;CHEMIN Dâ€™APPIETTO;20167;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 95 29 42 64;FUSIONNEL.ADM@GMAIL.COM;1
824.167.936.00015;COMMUNITI;;Mr Christophe BATTESTI;5710;RCS;6312Z;PORTAILS INTERNET;SERVICE;0;1 AVENUE DU PREMIER CONSUL;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 84 86 10 49;info@communiti.corsica;1
848.989.794.00013;TRAJA;;Mme Graziella MATTEI;5710;RCS;6312Z;PORTAILS INTERNET;SERVICE;1;CAVONE;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
388.139.503.00022;PYXIS;;Mr Pierre MAIRE;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE D'ALATA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 20 51 50;;1
438.864.894.00029;GOODBARBER;GOODBARBER;Mr Jerome PIETRI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;29;12 RUE DU GENERAL FIORELLA;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 09 06 08 89;J.CARLI@GOODBARBER.COM;1
451.549.885.00023;FAST INFORMATIQUE;FAST INFORMATIQUE;Mr Fabrice DELMEIRE;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;AVENUE DU MARECHAL LYAUTEY;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 52 85 45;contact@fast-informatique.fr;1
494.358.682.00016;MME ABNEY JOAN;;Mme Joan ABNEY;1200;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE DES SANGUINAIRES;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 21 54 58;jag.vision@gmail.com;1
520.346.842.00021;COM1BOUTIK;;Mr Xavier DAGUET;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;10 BD N STEPHANOPOLI DE COMMENE;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;XAVIER.DAGUET@COM1BOUTIK.COM;1
539.616.136.00013;ASR 2A;;Mr Alphonse TOMASINI;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;AVENUE MARECHAL LYAUTEY;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 70 08 32 22;nautica2a@orange.fr;1
749.985.479.00015;URBA EARTH;;Mr Aurelien LUCENA;5499;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;14 RUE CONVENTIONNEL CHIAPPE;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;contact@urba-earth.com;1
801.997.412.00029;MR LOCANDRO TEVA;;Mr Teva LOCANDRO;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;14 BD JEROME ET BARTHELEMY MAGLIOLI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
827.574.930.00034;AXELERIO;;Mr Andrea BONAPERSONA;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;4 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
833.314.842.00034;MR ANTONI GAHILHANN;CONSULTANT SEO 2A;Mr Gahilhann ANTONI;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RUE NICOLAS PERALDI;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
843.928.789.00018;DIGIDOCTEUR;;Mr Vincent PAOLI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;16 RUE HYACINTHE CAMPIGLIA;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 12 93 17 91;;1
851.642.280.00024;MIDGARD;;Mme Anne-Sophie CADRE;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;BOULEVARD CHARLES BONAPARTE;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 25 06 26 82;CORALIE.ROCCHI@MIDGARD-AI.COM;1
885.337.758.00019;MR RISTORI ANTOINE;;Mr Antoine RISTORI;1299;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;21 BOULEVARD DOMINIQUE PAOLI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
888.054.046.00022;GOODCLOUD;;Mr Cedric PENNACHIO;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;4 BOULEVARD MASSERIA;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
888.054.046.00030;GOODCLOUD;;Mr Cedric PENNACHIO;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;3;AVENUE DOCT NOEL FRANCHINI;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 46 62 20 32;contact@goodcloud.fr;1
892.952.847.00010;C.DIGITAL;;Mr Christophe CASIMIRI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;ROUTE DE MEZZAVIA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;contact@cdigitalagence.com;1
894.659.069.00021;TRENDEX;;Mr Andrea BONAPERSONA;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;4 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;01 23 45 67 89;contact@trendex.tech;1
901.035.089.00027;MKINFLU;;Mr Antoine ANTONINI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ROUTE DE MEZZAVIA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
914.974.191.00019;PLASTICAPP;;Mr Jacques BATTINI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;2 RUE LORENZO VERO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 62 24 50 94;jacquesantoinebattini@gmail.com;1
915.375.943.00015;KALLISTONI;;Mr Raphael MOTTET-AUSELO-SANTONI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;8 BOULEVARD TINO ROSSI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
920.679.644.00012;ZENOCODE;;Mr Antoine FRAU;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;CHEMIN DE BIANCARELLO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;antoine.frau@protonmail.com;1
921.458.485.00023;HELLOWORLD;;Mr Sebastien GILABERT;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;1;LIEU DIT TRABACCHINA;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
934.088.717.00012;AYUTA;;Mr Lucas TENAUDIER;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;ALLEE DE SANTA LINA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
937.959.260.00012;AVOCADOZ;;Mr Nicolas HARDY;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;45 RUE DE WAGRAM;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
938.294.410.00015;VIIA SMART DATA;;M X LE DIRECTEUR;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;4 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
939.620.084.00011;MR FRANCESCHI GAEL;;Mr Gael PETIOT--FRANCESCHI;1000;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;RUE DU 1ER BATAILLON CHOC;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
943.383.885.00010;ARIANE CONCEPT;;Mr Alexis DUNAND-BRUSCHI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;BOULEVARD LOUIS CAMPI;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
945.364.941.00019;SOPNEA;;Mr Julien MARCHESCHI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;28 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
953.237.690.00011;NEURAL VISION;;Mr Sebastien GILABERT;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;2 BOULEVARD CHARLES BONAPARTE;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
954.037.404.00017;STEP BY STEP;;Mr Jean PIERI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;20 RUE DOC DELL PELLEGRINO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
978.301.679.00012;ITECHDB;;Mr Philippe DE BARTOLO;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;2;RUE DE MORO GIAFFERI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
980.206.494.00018;GRX LABS;;Mr Mathieu ISTRIA;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;4 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
985.157.973.00019;THIS TRIP;THIS TRIP;Mme Anne-Cecile APPIETTO;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;22 BOULEVARD TINO ROSSI;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
987.499.894.00010;PRAGMA;;Mr Maxence PASTOR;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;4 AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
988.776.019.00016;LAST MAN WORKS;;Mr Pascal CECCALDI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;3 CHEMIN DES GENETS;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
990.504.508.00013;AZONIS;;Mr Anthony NARDI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;BOULEVARD ALBERT 1ER;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
344.041.587.00017;SOLUTION;;Mr Alain FELICI;5499;RCS/RM;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;RESIDENCE LES TROIS D;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 11 48 04 57;SOLUTION.AJACCIO@WANADOO.FR;1
348.264.631.00014;SARL KYRN POCKET SYSTEMS;;Mr Rene BERLANDI;5499;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;3;44  SAN BIAGGIO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
423.072.883.00030;INFORMATIQUE PROFESSIONNELLE CORSE;;Mme Marie-Jeromine MORETTI;5710;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;6;AVENUE NAPOLEON III PARC SAN LAZARO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 21 11 83;secretariat@ipc-corse.com;1
501.436.349.00010;MR DE FRANCESCHI ERIC;;Mr Eric DE FRANCESCHI;1000;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;5 ALLEE DE LA GRAVONA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;06 71 61 07 97;info@clik-ordi.fr;1
538.825.076.00010;INFORMATIQUE PRESTATION CONSEIL;;Mme Marie-Jeromine MORETTI;5499;RCS/RM;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;1;AVENUE NAPOLEON 3;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 24 76 73;;1
830.908.380.00033;HIGHTECH SERVICES;HIGHTECH SERVICES;Mr Christopher LONGUET;5710;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;1;4 AVENUE DOCT NOEL FRANCHINI;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
834.122.574.00017;MAINTENANCE PRO INFORMATIQUE;;Mr Joel MARTIN;5710;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;1;AVENUE DU MONT THABOR;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 27 80 81;;1
910.767.276.00017;MR KOLUBAKO STANY;CORSICA-IT;Mr Stany KOLUBAKO;1000;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;0;AVENUE DE VERDUN;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
339.552.648.00018;INFORMATIQUE TELEMATIQUE CORSE;SITEC;Mr Romain COLONNA;5515;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;14;PARC DE L'INDUSTRIE DU VAZZIO;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 23 68 00;sitec@sitec.fr;1
391.097.847.00027;M.B.INFORMATIQUE;;Mr Fredy BALDI;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;0;RESIDENCE COLLINES SALARIO IMM COLISEE;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 21 15 17;mbconseils@live.fr;1
430.044.040.00060;SAGES INFORMATIQUE (SAUVEGARDE-ADMINIS;;Mr Charly DELSOL;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;50;17 RESIDENCE DOMAINE DE SUARTELLO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 10 84 80;v.farre@zeendoc.com;1
430.044.040.00102;SAGES INFORMATIQUE (SAUVEGARDE-ADMINIS;;Mr Charly DELSOL;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;0;LOTISSEMENT ARTISANAL DU STILETTO;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 23 28 92;;1
808.116.818.00010;AZUR R.H.;;Mr Philippe MAGNAN;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;10;MEZZAVIA;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;g.delahaye@c2ccorse.com;1
917.598.112.00022;TECHNOLOGIES MESOZOIQUES;;Mr Eugene DMITRIEV;5499;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;0;POLE DE SUARTELLO 2;20090;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
972.200.018.07955;FIDUCIAL CONSULTING;;Mr Christian LATOUCHE;5710;RCS;6311Z;TRAITEMENT DE DONNÉES, HÉBERGEMENT ET ACTIVITÉS CONNEXES;SERVICE;5;23 COURS GENERAL LECLERC;20000;AJACCIO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 21 00 70;ajaccio.expertise.comptable@fiducial.fr;1
829.878.958.00018;GLASSPOP;;Mr Florent COSTANTINI;5710;RCS;6201Z;PROGRAMMATION INFORMATIQUE;SERVICE;0;LIEU DIT PASTRECCIARELLA;20167;ALATA;CORSE DU SUD;CA - PAYS AJACCIEN;;florentconstantini@glasspo.com;1
489.905.307.00034;REVERINE;;Mr Gregory GIANNONI;5499;RCS;6202B;TIERCE MAINTENANCE DE SYSTÈMES ET D'APPLICATIONS INFORMATIQUES;SERVICE;2;8  CAMINU DI CIPOLLAGHJU;20167;ALATA;CORSE DU SUD;CA - PAYS AJACCIEN;;;1
380.459.677.00015;JMS INFORMATIQUE;;Mr Jean SAVELLI;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;AGOSTA;20128;ALBITRECCIA;CORSE DU SUD;CC - PIEVE DE L'ORNANO ET DU TARAVO;;;1
882.261.431.00028;MAESTRONI CONSULTING SERVICES;;Mr Antoine LEROUX;5710;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;PLAINE DE SAN GIOVANNI;20167;APPIETTO;CORSE DU SUD;CA - PAYS AJACCIEN;04 95 21 15 42;;1
827.738.568.00027;MR DUGOUSSET NICOLAS;1FO CORSICA;Mr Nicolas DUGOUSSET;1000;RCS;9511Z;RÉPARATION D'ORDINATEURS ET D'ÉQUIPEMENTS PÉRIPHÉRIQUES;SERVICE;0;LIEU DIT FILETTA;20167;APPIETTO;CORSE DU SUD;CA - PAYS AJACCIEN;06 44 07 06 67;contact@1fo.corsica;1
484.197.058.00015;DEFI;;Mr Olivier DEPLANQUES;5499;RCS;6202A;CONSEIL EN SYSTÈMES ET LOGICIELS INFORMATIQUES;SERVICE;0;QUARTIER TRICOLACCI;20119;BASTELICA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
827.738.568.00019;MR DUGOUSSET NICOLAS;;Mr Nicolas DUGOUSSET;1000;RCS;6209Z;AUTRES ACTIVITÉS INFORMATIQUES;SERVICE;;RUE LIEU DIT VANGHI;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
979.567.195.00016;BIKER AVENUE;;Mr Sylvain GALLERI;5710;RCS;6312Z;PORTAILS INTERNET;SERVICE;0;POZZO;20129;BASTELICACCIA;CORSE DU SUD;CC - CELAVU PRUNELLI;;;1
